"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EQC","Equity Commonwealth","30.06","$3.73B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqc",
"EQC^D","Equity Commonwealth","26.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eqc^d",
"EQCO","Equity Commonwealth","25.227","n/a","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqco",
"ELS","Equity Lifestyle Properties, Inc.","86.1","$7.49B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/els",
"ELS^C.CL","Equity Lifestyle Properties, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/els^c.cl",
"EQR","Equity Residential","65.88","$24.2B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqr",
"EQS","Equus Total Return, Inc.","2.399","$32.43M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eqs",
"ERA","Era Group, Inc.","10.82","$230.24M","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/era",
"EROS","Eros International PLC","14.15","$877.19M","2013","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/eros",
"ESE","ESCO Technologies Inc.","57.85","$1.49B","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/ese",
"ESNT","Essent Group Ltd.","39.55","$3.69B","2013","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/esnt",
"ESS","Essex Property Trust, Inc.","255","$16.83B","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ess",
"EL","Estee Lauder Companies, Inc. (The)","107.58","$39.58B","1995","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/el",
"ESL","Esterline Technologies Corporation","90.95","$2.73B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esl",
"ETH","Ethan Allen Interiors Inc.","30.6","$839.88M","1993","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/eth",
"EURN","Euronav NV","7.95","$1.27B","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/eurn",
"EEA","European Equity Fund, Inc. (The)","9.68","$78.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eea",
"EVR","Evercore Inc.","76.9","$3.02B","2006","Finance","Investment Managers","http://www.nasdaq.com/symbol/evr",
"RE","Everest Re Group, Ltd.","226.26","$9.29B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/re",
"EVRI","Everi Holdings Inc.","7.22","$482.19M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/evri",
"ES","Eversource Energy","60.71","$19.24B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/es",
"EVTC","Evertec, Inc.","17.4","$1.26B","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/evtc",
"EVH","Evolent Health, Inc","16.75","$1.29B","2015","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/evh",
"XCO","EXCO Resources NL","1.45","$31.39M","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xco",
"EXC","Exelon Corporation","37.12","$35.64B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/exc",
"EXPR","Express, Inc.","6.65","$524.03M","2010","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/expr",
"STAY","Extended Stay America, Inc.","19.89","$3.83B","2013","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/stay",
"EXTN","Exterran Corporation","30.33","$1.09B","2015","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/extn",
"EXR","Extra Space Storage Inc","78.89","$9.94B","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/exr",
"XOM","Exxon Mobil Corporation","79.92","$338.63B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/xom",
"FNB","F.N.B. Corporation","13.36","$4.32B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnb",
"FNB^E","F.N.B. Corporation","29.2811","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fnb^e",
